analysis,target,feature_set,validation,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_train,n_test,mean_baseline_MAE,MAE_improvement_vs_mean_baseline,MAE_improvement_pct,scenario_A_best_mean_baseline_MAE
Scenario A: Known-patient monitoring,total_UPDRS,patient_history_only,within_subject_temporal_holdout,SubjectHistoricalMeanBaseline,3.6579129408258013,,4.524956479518921,,0.8282417873232841,,4095.0,1780.0,,,,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,patient_history_time_trend,within_subject_temporal_holdout,SubjectLinearTrendBaseline,3.184715346429764,,4.502924513080331,,0.8299102933737232,,4095.0,1780.0,,,,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,MeanBaseline,8.704054193041665,,11.018484373370585,,-0.018432896763522777,,4095.0,1780.0,8.704054193041665,0.0,0.0,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,Ridge_Robust,8.287704759674956,,10.078442270886123,,0.14792951088677442,,4095.0,1780.0,8.704054193041665,0.41634943336670993,4.783396611886386,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,8.28445300826774,,10.075735048677757,,0.14838720747837553,,4095.0,1780.0,8.704054193041665,0.41960118477392605,4.820755655558422,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.6901631383911346,,3.867650498105331,,0.8745175056699059,,4095.0,1780.0,8.704054193041665,6.01389105465053,69.09298725941127,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,8.704054193041665,,11.018484373370585,,-0.018432896763522777,,4095.0,1780.0,8.704054193041665,0.0,0.0,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust,3.253508048932118,,4.352644435842409,,0.8410739527634509,,4095.0,1780.0,8.704054193041665,5.4505461441095475,62.62077444861166,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust,3.692443224658007,,4.71735790521805,,0.8133249167291885,,4095.0,1780.0,8.704054193041665,5.011610968383659,57.57789252266055,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9907641101941025,,2.7600293342483226,,0.9360977581182596,,4095.0,1780.0,8.704054193041665,6.713290082847563,77.1283120940861,8.704054193041665
Scenario A: Known-patient monitoring,motor_UPDRS,patient_history_only,within_subject_temporal_holdout,SubjectHistoricalMeanBaseline,2.9357311375014157,,3.7981937643482437,,0.7892656858908569,,4095.0,1780.0,,,,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,patient_history_time_trend,within_subject_temporal_holdout,SubjectLinearTrendBaseline,2.9606351663019854,,4.083903899538832,,0.7563692775741544,,4095.0,1780.0,,,,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,MeanBaseline,6.8941900709964195,,8.32081990150972,,-0.011377457271819713,,4095.0,1780.0,6.8941900709964195,0.0,0.0,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,Ridge_Robust,6.330986692503356,,7.618331794562668,,0.15218559453260516,,4095.0,1780.0,6.8941900709964195,0.5632033784930632,8.16924646250235,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,6.327534414067648,,7.609896537194221,,0.15406200887164712,,4095.0,1780.0,6.8941900709964195,0.5666556569287717,8.219321647551745,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.2053620277777775,,3.172367573228408,,0.8529896101708258,,4095.0,1780.0,6.8941900709964195,4.688828043218642,68.0112963949798,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,6.8941900709964195,,8.32081990150972,,-0.011377457271819713,,4095.0,1780.0,6.8941900709964195,0.0,0.0,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust,2.882615323613046,,3.768342155079606,,0.7925651687130559,,4095.0,1780.0,6.8941900709964195,4.011574747383373,58.1877596363336,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust,3.1713464189319134,,3.888385725835076,,0.7791386586093143,,4095.0,1780.0,6.8941900709964195,3.722843652064506,53.9997246047271,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9093479490146241,,2.656767472030874,,0.8968930082935789,,4095.0,1780.0,6.8941900709964195,4.984842121981796,72.30497086166548,6.8941900709964195
Scenario A: Known-patient monitoring,total_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,8.704054193041665,,11.018484373370585,,-0.018432896763522777,,4095.0,1780.0,8.704054193041665,0.0,0.0,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust_PCA,3.2540679531793777,,4.356151364875005,,0.8408177559144319,,4095.0,1780.0,8.704054193041665,5.449986239862287,62.61434176523398,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust_PCA,3.6988683468999835,,4.713667327990754,,0.8136168891989081,,4095.0,1780.0,8.704054193041665,5.005185846141682,57.50407494180135,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,RandomForest_PCA,1.9599493367888363,,2.718076872934174,,0.9380256230012963,,4095.0,1780.0,8.704054193041665,6.744104856252829,77.48233991516629,8.704054193041665
Scenario A: Known-patient monitoring,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,6.8941900709964195,,8.32081990150972,,-0.011377457271819713,,4095.0,1780.0,6.8941900709964195,0.0,0.0,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust_PCA,2.8795168260858457,,3.7700597225834014,,0.7923760327452205,,4095.0,1780.0,6.8941900709964195,4.014673244910574,58.23270324095273,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust_PCA,3.160261754450914,,3.878278786579355,,0.7802853200975114,,4095.0,1780.0,6.8941900709964195,3.7339283165455055,54.16050729807975,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,RandomForest_PCA,1.9041349897048327,,2.647478516177564,,0.8976127415668518,,4095.0,1780.0,6.8941900709964195,4.990055081291587,72.38058466482593,6.8941900709964195
Scenario A2: Change-from-baseline monitoring,delta_total_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,MeanBaseline,5.056285008643043,,6.310724128392471,,-0.059093815568632024,,4095.0,1780.0,5.056285008643043,0.0,0.0,
Scenario A2: Change-from-baseline monitoring,delta_total_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,Ridge_Robust,4.48993910149967,,5.821956812514728,,0.09860737592267654,,4095.0,1780.0,5.056285008643043,0.566345907143373,11.200830375963388,
Scenario A2: Change-from-baseline monitoring,delta_total_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,4.47306336522511,,5.805151570805407,,0.10380365568622463,,4095.0,1780.0,5.056285008643043,0.5832216434179323,11.534587991400661,
Scenario A2: Change-from-baseline monitoring,delta_total_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,RandomForest,2.37810409641108,,3.187393299636529,,0.7298236366222165,,4095.0,1780.0,5.056285008643043,2.6781809122319626,52.96736453055892,
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,MeanBaseline,4.159619876226146,,5.304642849046533,,-0.029020254143566016,,4095.0,1780.0,4.159619876226146,0.0,0.0,
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,Ridge_Robust,3.7709337102805334,,4.820103413208423,,0.15038076355575491,,4095.0,1780.0,4.159619876226146,0.38868616594561267,9.344271291881888,
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,3.7603120458017965,,4.807168521383985,,0.154934602482379,,4095.0,1780.0,4.159619876226146,0.3993078304243496,9.599623097931376,
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,RandomForest,2.004287193107917,,2.7196195101749554,,0.7295245069697226,,4095.0,1780.0,4.159619876226146,2.155332683118229,51.81561650469069,
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,ElasticNet_Robust,9.293364068260715,0.8040753911413258,11.183321284620023,1.1210858593320832,-0.24208381256250827,0.3607031116126647,4700.0,1175.0,8.811115016674156,-0.4822490515865585,-5.473189836631916,
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,MeanBaseline,8.811115016674156,1.411994532118614,10.789242682708343,1.5329338121846188,-0.11597624514398341,0.11864729970876373,4700.0,1175.0,8.811115016674156,0.0,0.0,
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,RandomForest,10.678058195902349,1.0595543766367264,12.74142330884877,1.1601277775625531,-0.777309117336299,1.1293261944493305,4700.0,1175.0,8.811115016674156,-1.8669431792281923,-21.188500838942502,
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,Ridge_Robust,9.367684054035415,0.7708652143917453,11.272205887472921,1.1533065777655236,-0.2637047191710667,0.3778941296555997,4700.0,1175.0,8.811115016674156,-0.5565690373612586,-6.3166697552807705,
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,ElasticNet_Robust,7.382663798896056,0.7253895710738979,8.77198155425659,0.37921879686418186,-0.34193385673186527,0.40436212260790416,4700.0,1175.0,7.130752073502987,-0.25191172539306894,-3.532751143166826,
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,MeanBaseline,7.130752073502987,1.0725153007931243,8.277694825328307,0.6418555534573132,-0.16756414082797635,0.20972403193678205,4700.0,1175.0,7.130752073502987,0.0,0.0,
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,RandomForest,7.863931650697408,0.9783368585067309,9.658070143816412,1.3048992786322082,-0.6603168251988023,0.7346267578534476,4700.0,1175.0,7.130752073502987,-0.733179577194421,-10.281938982548946,
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,Ridge_Robust,7.422566188016825,0.6879083182529993,8.861413061029973,0.40213865550153105,-0.3719189401775574,0.4228143120547433,4700.0,1175.0,7.130752073502987,-0.291814114513838,-4.092332919527296,
Scenario B: New-patient generalisation,total_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,ElasticNet_Robust_PCA,9.016023016765056,0.958469268476774,10.965650337087746,1.0832764707598204,-0.19373106707103102,0.3378026020560478,4700.0,1175.0,8.811115016674156,-0.20490800009089938,-2.325562652435378,
