analysis,target,feature_set,validation,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_train,n_test,mean_baseline_MAE,MAE_improvement_vs_mean_baseline,MAE_improvement_pct,scenario_A_best_mean_baseline_MAE
Scenario A: Known-patient monitoring,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,RandomForest_PCA,1.9041349897048327,,2.647478516177564,,0.8976127415668518,,4095.0,1780.0,6.8941900709964195,4.990055081291587,72.38058466482593,6.8941900709964195
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9093479490146241,,2.656767472030874,,0.8968930082935789,,4095.0,1780.0,6.8941900709964195,4.984842121981796,72.30497086166548,6.8941900709964195
Scenario A: Known-patient monitoring,total_UPDRS,D1_PCA_jitter_shimmer_demo_time_patient,within_subject_temporal_holdout,RandomForest_PCA,1.9599493367888363,,2.718076872934174,,0.9380256230012963,,4095.0,1780.0,8.704054193041665,6.744104856252829,77.48233991516629,8.704054193041665
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9907641101941025,,2.7600293342483226,,0.9360977581182596,,4095.0,1780.0,8.704054193041665,6.713290082847563,77.1283120940861,8.704054193041665
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,RandomForest,2.004287193107917,,2.7196195101749554,,0.7295245069697226,,4095.0,1780.0,4.159619876226146,2.155332683118229,51.81561650469069,
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.2053620277777775,,3.172367573228408,,0.8529896101708258,,4095.0,1780.0,6.8941900709964195,4.688828043218642,68.0112963949798,6.8941900709964195
Scenario A2: Change-from-baseline monitoring,delta_total_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,RandomForest,2.37810409641108,,3.187393299636529,,0.7298236366222165,,4095.0,1780.0,5.056285008643043,2.6781809122319626,52.96736453055892,
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.6901631383911346,,3.867650498105331,,0.8745175056699059,,4095.0,1780.0,8.704054193041665,6.01389105465053,69.09298725941127,8.704054193041665
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,3.7603120458017965,,4.807168521383985,,0.154934602482379,,4095.0,1780.0,4.159619876226146,0.3993078304243496,9.599623097931376,
Scenario A2: Change-from-baseline monitoring,delta_motor_UPDRS,D1_delta_baseline_voice_demo_time,within_subject_temporal_holdout,Ridge_Robust,3.7709337102805334,,4.820103413208423,,0.15038076355575491,,4095.0,1780.0,4.159619876226146,0.38868616594561267,9.344271291881888,
