feature_1,feature_2,pearson_r,abs_r
Shimmer:APQ3,Shimmer:DDA,0.9999999790883287,0.9999999790883287
Jitter:RAP,Jitter:DDP,0.9999996211287014,0.9999996211287014
Shimmer,Shimmer(dB),0.9923340730605369,0.9923340730605369
Shimmer,Shimmer:APQ5,0.9849043154229393,0.9849043154229393
Jitter(%),Jitter:DDP,0.9841835424559554,0.9841835424559554
Jitter(%),Jitter:RAP,0.9841807452612116,0.9841807452612116
Shimmer,Shimmer:APQ3,0.97982804032087,0.97982804032087
Shimmer,Shimmer:DDA,0.979827311935331,0.979827311935331
Shimmer(dB),Shimmer:APQ5,0.9763725736759457,0.9763725736759457
Jitter(%),Jitter:PPQ5,0.9682144320163326,0.9682144320163326
Shimmer(dB),Shimmer:APQ3,0.968014799604564,0.968014799604564
Shimmer(dB),Shimmer:DDA,0.9680142716063667,0.9680142716063667
Shimmer:APQ5,Shimmer:DDA,0.962723076360355,0.962723076360355
Shimmer:APQ3,Shimmer:APQ5,0.962722962426269,0.962722962426269
Jitter:PPQ5,Jitter:DDP,0.9472025633882982,0.9472025633882982
Jitter:RAP,Jitter:PPQ5,0.947195933695748,0.947195933695748
Shimmer:APQ5,Shimmer:APQ11,0.938934942422999,0.938934942422999
Shimmer(dB),Shimmer:APQ11,0.9363381183617789,0.9363381183617789
Shimmer,Shimmer:APQ11,0.9354568438530156,0.9354568438530156
Shimmer:APQ3,Shimmer:APQ11,0.885695372880532,0.885695372880532
Shimmer:APQ11,Shimmer:DDA,0.8856941420819571,0.8856941420819571
Jitter(%),Jitter(Abs),0.8655772196266175,0.8655772196266175
Jitter:PPQ5,NHR,0.8648642522764903,0.8648642522764903
