feature,importance_mean_MAE_reduction,importance_std
age,4.8873772363171035,0.10070331453781314
global_subject_id,3.8477822047984658,0.03767637710256858
sex,1.0634491074496162,0.04439374563789636
test_time,0.09071987956839656,0.008115803058223618
DFA,0.07830573971776289,0.0020332721653123055
HNR,0.04803957966737991,0.0037969553526552456
RPDE,0.00461571953629365,0.0018185436962771806
Shimmer:DDA,0.0015754754387368396,0.00046135899277540706
Jitter(Abs),0.0015516527519169542,0.000509169925358149
Shimmer:APQ5,0.0013712800249682465,0.00042758203113058696
Shimmer:APQ11,0.0013670454342782801,0.0006890666879472452
PPE,0.0013562713108608905,0.0006753838991498666
Shimmer:APQ3,0.0012036173497410817,0.0003765231107551137
Jitter(%),0.0011888231585511998,0.00022250671921056754
NHR,0.0009641866238626395,0.0004060186764426659
Shimmer(dB),0.0008676627652928204,0.0010413219789220613
Shimmer,0.000809403901372896,0.00043672411223949053
Jitter:RAP,-0.00048181701355494156,0.00022961925355821747
Jitter:DDP,-0.0015419836721960235,0.0004493967926704218
Jitter:PPQ5,-0.0028510796664889424,0.00033669103117830524
