analysis,target,feature_set,validation,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_train,n_test
Scenario A: Known-patient monitoring,total_UPDRS,patient_history_only,within_subject_temporal_holdout,SubjectHistoricalMeanBaseline,3.6579129408258013,,4.524956479518921,,0.8282417873232841,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,patient_history_time_trend,within_subject_temporal_holdout,SubjectLinearTrendBaseline,3.184715346429764,,4.502924513080331,,0.8299102933737232,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,MeanBaseline,8.704054193041665,,11.018484373370585,,-0.018432896763522777,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,Ridge_Robust,8.287704759674956,,10.078442270886123,,0.14792951088677442,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,8.28445300826774,,10.075735048677757,,0.14838720747837553,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.6901631383911346,,3.867650498105331,,0.8745175056699059,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,8.704054193041665,,11.018484373370585,,-0.018432896763522777,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust,3.253508048932118,,4.352644435842409,,0.8410739527634509,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust,3.692443224658007,,4.71735790521805,,0.8133249167291885,,4095,1780
Scenario A: Known-patient monitoring,total_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9907641101941025,,2.7600293342483226,,0.9360977581182596,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,patient_history_only,within_subject_temporal_holdout,SubjectHistoricalMeanBaseline,2.9357311375014157,,3.7981937643482437,,0.7892656858908569,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,patient_history_time_trend,within_subject_temporal_holdout,SubjectLinearTrendBaseline,2.9606351663019854,,4.083903899538832,,0.7563692775741544,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,MeanBaseline,6.8941900709964195,,8.32081990150972,,-0.011377457271819713,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,Ridge_Robust,6.330986692503356,,7.618331794562668,,0.15218559453260516,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,ElasticNet_Robust,6.327534414067648,,7.609896537194221,,0.15406200887164712,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time,within_subject_temporal_holdout,RandomForest,2.2053620277777775,,3.172367573228408,,0.8529896101708258,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,MeanBaseline,6.8941900709964195,,8.32081990150972,,-0.011377457271819713,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,Ridge_Robust,2.882615323613046,,3.768342155079606,,0.7925651687130559,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,ElasticNet_Robust,3.1713464189319134,,3.888385725835076,,0.7791386586093143,,4095,1780
Scenario A: Known-patient monitoring,motor_UPDRS,D1_voice16_demo_time_patient,within_subject_temporal_holdout,RandomForest,1.9093479490146241,,2.656767472030874,,0.8968930082935789,,4095,1780
