analysis,target,feature_set,validation,fold,model,MAE,RMSE,R2,n_train,n_test,n_test_groups
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,MeanBaseline,6.61722937122455,8.196134929160191,-0.18956577086247806,4738,1137,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,Ridge_Robust,8.064386338849738,10.385259486341443,-0.9098750925134897,4738,1137,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,ElasticNet_Robust,7.937565634957847,10.248875169522329,-0.8600416426754403,4738,1137,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,RandomForest,12.039499795597955,14.560897103966923,-2.754451739036382,4738,1137,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,MeanBaseline,9.49944253300291,10.604551105476409,-0.026290548206735265,4642,1233,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,Ridge_Robust,9.569720357077864,10.5319668817402,-0.012289471642798366,4642,1233,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,ElasticNet_Robust,9.576018451084465,10.510291596991143,-0.008127080267269271,4642,1233,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,RandomForest,10.075004781725745,12.454077618043865,-0.41549678257329736,4642,1233,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,MeanBaseline,9.037731338074384,11.922979084124668,-0.025278399420390008,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,Ridge_Robust,9.909638578970217,13.24562333073747,-0.2653685759886746,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,ElasticNet_Robust,9.790818294178557,13.089218101275813,-0.23566188894396478,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,RandomForest,9.247853380303305,11.339404005646841,0.07263072891941347,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,MeanBaseline,8.49696539616603,11.564392358852466,-0.049121010110326546,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,Ridge_Robust,9.341231054759898,11.22463234870678,0.011619431978583172,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,ElasticNet_Robust,9.224210414196113,11.144122792932107,0.02574705813831546,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,RandomForest,11.047661107539083,12.585784341922842,-0.24262623935279404,4736,1139,8
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,MeanBaseline,10.404206444902911,11.658155935927978,-0.2896254971199872,4648,1227,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,Ridge_Robust,9.953443940519358,10.973547389838712,-0.14260988768895388,4648,1227,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,ElasticNet_Robust,9.938207546886588,10.924098762378721,-0.13233550906418245,4648,1227,9
Scenario B: New-patient generalisation,total_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,RandomForest,10.980271914345654,12.766953474663383,-0.5466015546384355,4648,1227,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,MeanBaseline,6.6051789137061725,7.818034921082594,-0.47918014112951046,4738,1137,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,Ridge_Robust,7.335506667050222,9.230802427883832,-1.0620764708939334,4738,1137,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,ElasticNet_Robust,7.247270770594111,9.125885078528421,-1.0154677182519696,4738,1137,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,1,RandomForest,8.629201893002564,10.970710610677587,-1.9126974395881153,4738,1137,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,MeanBaseline,8.012729411176839,8.872724054594464,-0.03676942376949377,4642,1233,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,Ridge_Robust,8.016560978375027,8.863009497940622,-0.034500393071137614,4642,1233,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,ElasticNet_Robust,8.035706093247498,8.870251133913563,-0.0361915874144052,4642,1233,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,2,RandomForest,8.334085346969578,10.699296935339403,-0.5075742528655374,4642,1233,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,MeanBaseline,5.8142798372876285,7.571709077923408,-0.006588158592009341,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,Ridge_Robust,6.5736530183776045,9.102390015794224,-0.4547047573497145,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,ElasticNet_Robust,6.5076665741697,8.852450158661867,-0.3759129541232147,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,3,RandomForest,6.8968229102826415,8.351278494732314,-0.22453136107704053,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,MeanBaseline,6.788265396481178,8.104009698618208,-0.02419730013602228,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,Ridge_Robust,6.979823016442875,8.191363117894518,-0.04639602010429278,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,ElasticNet_Robust,6.9169405079491275,8.123565045979852,-0.029146134010272773,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,4,RandomForest,6.717204756603199,8.199657426955884,-0.04851618642346667,4736,1139,8
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,MeanBaseline,8.433306808863115,9.021996374422868,-0.2910856805128459,4648,1227,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,Ridge_Robust,8.207287259838393,8.919500245636668,-0.2619170594687086,4648,1227,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,ElasticNet_Robust,8.205735048519845,8.887756354199242,-0.2529508898594641,4648,1227,9
Scenario B: New-patient generalisation,motor_UPDRS,D1_voice16_demo_time,GroupKFold_5,5,RandomForest,8.742343346629056,10.06940725137687,-0.6082648860398521,4648,1227,9
